﻿レベル,場所,表面,条件値,騎手,件数,複勝率,人気補正期待複勝率,差pt,z,判定
距離区分,中京,ダート,中距離,永島まな,185,11.891891891891893,18.32253227383209,-6.4306403819401945,-2.5672052446394593,×
距離区分,阪神,ダート,短距離,小沢大仁,166,7.83132530120482,13.611263147156508,-5.779937845951688,-2.348098152279419,×
距離区分,小倉,芝,短距離,秋山稔樹,143,18.88111888111888,13.162846066273229,5.718272814845651,2.161916608664305,◎
距離区分,小倉,芝,短距離,角田大和,144,11.11111111111111,17.05947967134054,-5.94836856022943,-2.1038949697031843,×
距離区分,小倉,芝,中距離,角田大和,128,13.28125,21.537283029470526,-8.256033029470528,-2.5110001455310766,×
距離区分,小倉,ダート,中距離,永島まな,146,17.80821917808219,12.392090418453291,5.416128759628899,2.2527762015863693,◎
距離区分,小倉,芝,中距離,松本大輝,101,16.831683168316832,10.327261760299802,6.5044214080170315,2.3162310201824376,◎
距離区分,小倉,ダート,中距離,松本大輝,108,19.444444444444446,13.065979903315647,6.378464541128798,2.2328104983905583,◎
距離区分,阪神,ダート,中距離,今村聖奈,118,15.254237288135593,23.240680196761332,-7.986442908625738,-2.2469101587267666,×
距離区分,阪神,ダート,短距離,今村聖奈,170,11.176470588235295,16.38805998379272,-5.211589395557424,-2.0415664226501105,×
距離区分,小倉,芝,中距離,今村聖奈,106,28.30188679245283,20.068101903723708,8.233784888729122,2.2976025708032233,◎
距離区分,札幌,ダート,中距離,佐々木大,103,16.50485436893204,24.61696046473278,-8.112106095800742,-2.053378319052825,×
距離区分,函館,芝,短距離,佐々木大,136,36.76470588235294,28.357087264735643,8.407618617617302,2.307649461940445,◎
距離区分,阪神,ダート,短距離,吉村誠之,156,12.82051282051282,19.630234205262198,-6.809721384749379,-2.3161818277878967,×
